Filename,Blinding of intervention,Blinding of Outcome assessment,Classes
00060-02.txt,P,P,PP
00060-03.txt,N,N,NN
00060-04.txt,N,N,NN
00060-05.txt,P,P,PP
00060-06.txt,P,P,PP
00060-07.txt,N,N,NN
00060-08.txt,P,P,PP
00060-11.txt,N,N,NN
00060-12.txt,P,P,PP
00060-13.txt,N,N,NN
00060-15.txt,Q,Q,QQ
00060-16.txt,Q,Q,QQ
00060-17.txt,N,N,NN
00060-18.txt,P,P,PP
00060-19.txt,P,P,PP
00060-21.txt,P,P,PP
00060-22.txt,Q,Q,QQ
00060-23.txt,P,P,PP
00060-24.txt,Q,Q,QQ
00060-25.txt,Q,Q,QQ
00060-26.txt,N,N,NN
00060-27.txt,N,N,NN
00060-28.txt,Q,Q,QQ
00060-29.txt,Q,Q,QQ
00063-01.txt,P,P,PP
00063-02.txt,P,P,PP
00063-03.txt,Q,Q,QQ
00063-04.txt,P,P,PP
00067-02.txt,P,P,PP
00067-03.txt,P,P,PP
00067-04.txt,P,P,PP
00067-05.txt,P,P,PP
00067-06.txt,P,Q,PQ
00067-07.txt,P,P,PP
00067-08.txt,P,P,PP
00067-09.txt,N,N,NN
00067-10.txt,P,P,PP
00067-11.txt,P,P,PP
00067-12.txt,P,Q,PQ
00067-13.txt,P,P,PP
00067-15.txt,P,Q,PQ
00067-16.txt,P,P,PP
00067-17.txt,P,P,PP
00068-01.txt,N,N,NN
00068-02.txt,N,N,NN
00068-03.txt,N,N,NN
00068-04.txt,P,P,PP
00068-05.txt,Q,Q,QQ
00068-07.txt,P,P,PP
00068-08.txt,P,P,PP
00068-09.txt,Q,Q,QQ
00068-10.txt,Q,Q,QQ
00068-11.txt,P,P,PP
00068-12.txt,P,P,PP
00068-13.txt,P,P,PP
00068-15.txt,P,P,PP
00068-16.txt,N,N,NN
00068-17.txt,P,P,PP
00068-18.txt,P,P,PP
00068-19.txt,Q,Q,QQ
00068-20.txt,P,P,PP
00068-21.txt,P,P,PP
00068-22.txt,N,N,NN
00068-23.txt,P,P,PP
00068-24.txt,P,P,PP
00068-26.txt,P,P,PP
00068-27.txt,P,P,PP
00069-01.txt,Q,Q,QQ
00069-02.txt,Q,Q,QQ
00069-03.txt,Q,P,QP
00069-04.txt,Q,Q,QQ
00069-05.txt,Q,Q,QQ
00069-06.txt,Q,P,QP
00069-07.txt,Q,Q,QQ
00069-08.txt,Q,Q,QQ
